ตราด เขต1,A0101,เพื่อไทย,1,ณัฐกาญจน์ นุชประเสริฐ,TRUE,พท.,ชนะขาด,01/01/2019,,,
ตราด เขต1,A0101,ประชาธิปัตย์,2,อภิญญา ชื่นชม,TRUE,ปชป.,สูสี,01/01/2019,,,
ตราด เขต1,A0101,พลังประชารัฐ,3,ผุสดี เอียดศรี,TRUE,พปชร.,สูสี,01/01/2019,,,
ตราด เขต1,A0101,อนาคตใหม่,4,ศิริพร ดวงสีทอง,TRUE,อ.น.ค.,แพ้ขาด,01/01/2019,,,
ตราด เขต1,A0101,ภูมิใจไทย,5,นฤมล ศุภนัตร์,TRUE,ภท.,แพ้ขาด,01/01/2019,,,
ตราด เขต1,A0101,พรรคไทยรักษาชาติ,6,สุชานาถ แซ่หลิม,TRUE,ทษช.,สูสี,01/01/2019,,,
ตราด เขต1,A0101,เสรีรวมไทย,7,ภิญญาพัชญ์ ขาวคม,TRUE,สร.,แพ้ขาด,01/01/2019,,,
ตราด เขต1,A0101,รวมพลังประชาชาติไทย,8,จุฑามาศ ชัมภูชนะ,TRUE,รปช.,สูสี,01/01/2019,,,
นครนายก เขต1,A0201,เพื่อไทย,1,พิษณุ วงสูงเนิน,TRUE,พท.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,ประชาธิปัตย์,2,ธวัลรัตน์ห อินทรสิงห์,TRUE,ปชป.,แพ้ขาด,01/01/2019,,,
นครนายก เขต1,A0201,พลังประชารัฐ,3,มนพิพัฒน์ ปั้นไว,TRUE,พปชร.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,อนาคตใหม่,4,ธรรมาวุธ สนิท,TRUE,อ.น.ค.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,ภูมิใจไทย,5,สุวรินทร์ จุ้ยชู,TRUE,ภท.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,พรรคไทยรักษาชาติ,6,สุภาพร ชยปาลกุล,TRUE,ทษช.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,เสรีรวมไทย,7,พิมไพลิน มีจัตุรัส,TRUE,สร.,ชนะขาด,01/01/2019,,,
นครนายก เขต1,A0201,รวมพลังประชาชาติไทย,8,มัทนียา อรวิบาล,TRUE,รปช.,ชนะขาด,01/01/2019,,,
พังงา เขต 1,A0301,เพื่อไทย,1,นิอร แก้วพิจิตร,TRUE,พท.,สูสี,01/01/2019,,,
พังงา เขต 1,A0301,ประชาธิปัตย์,2,กัญญารัตน์ ร้อยแก้ว,TRUE,ปชป.,แพ้ขาด,01/01/2019,,,
พังงา เขต 1,A0301,พลังประชารัฐ,3,รสริน เกณฑ์สระคู,TRUE,พปชร.,ชนะขาด,01/01/2019,,,
พังงา เขต 1,A0301,อนาคตใหม่,4,อรรถพร ตันถิลา,TRUE,อ.น.ค.,แพ้ขาด,01/01/2019,,,
พังงา เขต 1,A0301,ภูมิใจไทย,5,มีรพะ สะอุ,TRUE,ภท.,สูสี,01/01/2019,,,
พังงา เขต 1,A0301,พรรคไทยรักษาชาติ,6,รีซาวาตี เจะเด็ง,TRUE,ทษช.,แพ้ขาด,01/01/2019,,,
พังงา เขต 1,A0301,เสรีรวมไทย,7,สุภารัตน์ สัสดีเมือง,TRUE,สร.,สูสี,01/01/2019,,,
พังงา เขต 1,A0301,รวมพลังประชาชาติไทย,8,ซูไรนี เงาะ,TRUE,รปช.,แพ้ขาด,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,เพื่อไทย,1,กีรติ แซ่เตียว,TRUE,พท.,ชนะขาด,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,ประชาธิปัตย์,2,วราพร โต๊ะลีบำรุง,TRUE,ปชป.,แพ้ขาด,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,พลังประชารัฐ,3,มูนาร์ เจะดอเลาะ,TRUE,พปชร.,สูสี,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,อนาคตใหม่,4,วิลาสินี ทองสัมฤทธิ์,TRUE,อ.น.ค.,แพ้ขาด,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,ภูมิใจไทย,5,อรรถพร รอดนิตย์,TRUE,ภท.,ชนะขาด,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,พรรคไทยรักษาชาติ,6,พิมล พนาเชิงชาญ,TRUE,ทษช.,สูสี,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,เสรีรวมไทย,7,สมิต ชุติสิระ,TRUE,สร.,สูสี,01/01/2019,,,
แม่ฮ่องสอน เขต1,A0401,รวมพลังประชาชาติไทย,8,กุลริสา จ่าสูงเนิน,TRUE,รปช.,แพ้ขาด,01/01/2019,,,
ระนอง เขต1,A0501,เพื่อไทย,1,ณวพล อินทะกนก,TRUE,พท.,แพ้ขาด,01/01/2019,,,
ระนอง เขต1,A0501,ประชาธิปัตย์,2,กษิต โยธสิงห์,TRUE,ปชป.,สูสี,01/01/2019,,,
ระนอง เขต1,A0501,พลังประชารัฐ,3,เนติพัทธ์ อัมไพพันธ์,TRUE,พปชร.,แพ้ขาด,01/01/2019,,,
ระนอง เขต1,A0501,อนาคตใหม่,4,สุภาวดี ไชยแก้ว,TRUE,อ.น.ค.,สูสี,01/01/2019,,,
ระนอง เขต1,A0501,ภูมิใจไทย,5,ปานเทพ วันเพ็ญ,TRUE,ภท.,แพ้ขาด,01/01/2019,,,
ระนอง เขต1,A0501,พรรคไทยรักษาชาติ,6,ชูเกียรติ เบญกูล,TRUE,ทษช.,สูสี,01/01/2019,,,
ระนอง เขต1,A0501,เสรีรวมไทย,7,รัตนชาติ รักซ้อน,TRUE,สร.,แพ้ขาด,01/01/2019,,,
ระนอง เขต1,A0501,รวมพลังประชาชาติไทย,8,ชนากานต์ เสนาคำ,TRUE,รปช.,แพ้ขาด,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,เพื่อไทย,1,ขวัญแพร แสงพันธ์,TRUE,พท.,สูสี,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,ประชาธิปัตย์,2,อรรถกร พูลสวัสดิ์,TRUE,ปชป.,ชนะขาด,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,พลังประชารัฐ,3,เทพนิมิตร ทองจันทร์,TRUE,พปชร.,สูสี,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,อนาคตใหม่,4,อุษณีษ์ ภู่กลั่น,TRUE,อ.น.ค.,สูสี,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,ภูมิใจไทย,5,อรุณี ตุ่นตาโมง,TRUE,ภท.,ชนะขาด,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,พรรคไทยรักษาชาติ,6,ปิยาวรรณ พ่วงพิศ,TRUE,ทษช.,ชนะขาด,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,เสรีรวมไทย,7,จิตนันท์ วงศ์รักษ์งาน,TRUE,สร.,ชนะขาด,01/01/2019,,,
สมุทรสงคราม เขต1,A0601,รวมพลังประชาชาติไทย,8,ชนัฐชนม์ ภู่อารีย์,TRUE,รปช.,สูสี,01/01/2019,,,
สิงห์บุรี เขต1,A0701,เพื่อไทย,1,พิสิทธิ์ บุญเรือน,TRUE,พท.,สูสี,01/01/2019,,,
สิงห์บุรี เขต1,A0701,ประชาธิปัตย์,2,อริยะกุล สุวาหลำ,TRUE,ปชป.,ชนะขาด,01/01/2019,,,
สิงห์บุรี เขต1,A0701,พลังประชารัฐ,3,กันตรัช โคเจริญ,TRUE,พปชร.,สูสี,01/01/2019,,,
สิงห์บุรี เขต1,A0701,อนาคตใหม่,4,นคร ทิวาประเสริฐพร,TRUE,อ.น.ค.,สูสี,01/01/2019,,,
สิงห์บุรี เขต1,A0701,ภูมิใจไทย,5,วรินรำไพ ชูศรี,TRUE,ภท.,สูสี,01/01/2019,,,
สิงห์บุรี เขต1,A0701,พรรคไทยรักษาชาติ,6,ทิพย์กานดา เทือกเถา,TRUE,ทษช.,แพ้ขาด,01/01/2019,,,
สิงห์บุรี เขต1,A0701,เสรีรวมไทย,7,บัญญพนต์ มีลือการ,TRUE,สร.,ชนะขาด,01/01/2019,,,
สิงห์บุรี เขต1,A0701,รวมพลังประชาชาติไทย,8,ศกลวรรณ สุดภักดี,TRUE,รปช.,สูสี,01/01/2019,,,
อ่างทอง เขต1,A0801,เพื่อไทย,1,อรเนตร มีป้อม,TRUE,พท.,แพ้ขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,ประชาธิปัตย์,2,พนิดา รักนุ่น,TRUE,ปชป.,แพ้ขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,พลังประชารัฐ,3,วรกาล ทิพย์ธารา,TRUE,พปชร.,ชนะขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,อนาคตใหม่,4,ศิริกุล พลสง่า,TRUE,อ.น.ค.,แพ้ขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,ภูมิใจไทย,5,นรากร คำจวง,TRUE,ภท.,แพ้ขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,พรรคไทยรักษาชาติ,6,พงศ์ศิษฏ์ พจนา,TRUE,ทษช.,ชนะขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,เสรีรวมไทย,7,ปริญญานนท์ แก้วปัญญา,TRUE,สร.,ชนะขาด,01/01/2019,,,
อ่างทอง เขต1,A0801,รวมพลังประชาชาติไทย,8,จรัญญา ประเทือง,TRUE,รปช.,ชนะขาด,01/01/2019,,,
กระบี่ เขต1,A0901,เพื่อไทย,1,ระพีพัฒน์ จอมมณี,TRUE,พท.,ชนะขาด,01/01/2019,,,
กระบี่ เขต1,A0901,ประชาธิปัตย์,2,แพรววนิด หลวงพนัง,TRUE,ปชป.,สูสี,01/01/2019,,,
กระบี่ เขต1,A0901,พลังประชารัฐ,3,ธนากูร เกษมโชค,TRUE,พปชร.,แพ้ขาด,01/01/2019,,,
กระบี่ เขต1,A0901,อนาคตใหม่,4,ปวีณา แจ่มจำรัส,TRUE,อ.น.ค.,สูสี,01/01/2019,,,
กระบี่ เขต1,A0901,ภูมิใจไทย,5,เมธาสิทธิ์ บุญเทศ,TRUE,ภท.,ชนะขาด,01/01/2019,,,
กระบี่ เขต1,A0901,พรรคไทยรักษาชาติ,6,สุภัทรา อะทาโส,TRUE,ทษช.,แพ้ขาด,01/01/2019,,,
กระบี่ เขต1,A0901,เสรีรวมไทย,7,จักรภาณุ จุลภักดิ์,TRUE,สร.,สูสี,01/01/2019,,,
กระบี่ เขต1,A0901,รวมพลังประชาชาติไทย,8,ซุฟยัน บุงา,TRUE,รปช.,สูสี,01/01/2019,,,
กระบี่ เขต2,A0902,เพื่อไทย,1,ศาสตรา ดาราวัลย์,TRUE,พท.,ชนะขาด,01/01/2019,,,
กระบี่ เขต2,A0902,ประชาธิปัตย์,2,ชนวัสส์ อ้อมแก้วการณ์,TRUE,ปชป.,ชนะขาด,01/01/2019,,,
กระบี่ เขต2,A0902,พลังประชารัฐ,3,กร วัฒนพันธุ์,TRUE,พปชร.,ชนะขาด,01/01/2019,,,
กระบี่ เขต2,A0902,อนาคตใหม่,4,เพลินใจ พรมแก้ว,TRUE,อ.น.ค.,สูสี,01/01/2019,,,
กระบี่ เขต2,A0902,ภูมิใจไทย,5,ธาราทิพย์ ขันเงิน,TRUE,ภท.,แพ้ขาด,01/01/2019,,,
กระบี่ เขต2,A0902,พรรคไทยรักษาชาติ,6,ปารณัท วรรณแสงแก้ว,TRUE,ทษช.,แพ้ขาด,01/01/2019,,,
กระบี่ เขต2,A0902,เสรีรวมไทย,7,วิษณุ แก้วตา,TRUE,สร.,แพ้ขาด,01/01/2019,,,
กระบี่ เขต2,A0902,รวมพลังประชาชาติไทย,8,ศุภชัย ด้วงมาก,TRUE,รปช.,ชนะขาด,01/01/2019,,,
ชัยนาท เขต1,A1001,เพื่อไทย,1,วิไลวรรณ ไกรศิริ,TRUE,พท.,สูสี,01/01/2019,,,
ชัยนาท เขต1,A1001,ประชาธิปัตย์,2,สายฝน พุ่มพับ,TRUE,ปชป.,สูสี,01/01/2019,,,
ชัยนาท เขต1,A1001,พลังประชารัฐ,3,กันตพิชญ์ เพ็ชรกูล,TRUE,พปชร.,สูสี,01/01/2019,,,
ชัยนาท เขต1,A1001,อนาคตใหม่,4,วัชระ เหลืองอ่อน,TRUE,อ.น.ค.,ชนะขาด,01/01/2019,,,
ชัยนาท เขต1,A1001,ภูมิใจไทย,5,ธนพนธ์ อุ่นเรืองเกียรติ,TRUE,ภท.,แพ้ขาด,01/01/2019,,,
ชัยนาท เขต1,A1001,พรรคไทยรักษาชาติ,6,กิตติคุณ เครือสูงเนิน,TRUE,ทษช.,สูสี,01/01/2019,,,
ชัยนาท เขต1,A1001,เสรีรวมไทย,7,ทวีศักดิ์ ทัพทวี,TRUE,สร.,สูสี,01/01/2019,,,
ชัยนาท เขต1,A1001,รวมพลังประชาชาติไทย,8,วรรณิสา ล้านแก้ว,TRUE,รปช.,แพ้ขาด,01/01/2019,,,
ชัยนาท เขต2,A1002,เพื่อไทย,1,ปาริฉัตต์ หนูชิต,TRUE,พท.,ชนะขาด,01/01/2019,,,
ชัยนาท เขต2,A1002,ประชาธิปัตย์,2,ปภาวี อินทสูนย์,TRUE,ปชป.,ชนะขาด,01/01/2019,,,
ชัยนาท เขต2,A1002,พลังประชารัฐ,3,พจนา ศรีนอก,TRUE,พปชร.,สูสี,01/01/2019,,,
ชัยนาท เขต2,A1002,อนาคตใหม่,4,สุปราณี อาจธัญกรณ์,TRUE,อ.น.ค.,ชนะขาด,01/01/2019,,,
ชัยนาท เขต2,A1002,ภูมิใจไทย,5,พิมลพรรณ บุญแสวง,TRUE,ภท.,สูสี,01/01/2019,,,
ชัยนาท เขต2,A1002,พรรคไทยรักษาชาติ,6,รัชนี กอลแมน,TRUE,ทษช.,แพ้ขาด,01/01/2019,,,
ชัยนาท เขต2,A1002,เสรีรวมไทย,7,ชลันดา เทวีนุกูล,TRUE,สร.,แพ้ขาด,01/01/2019,,,
